ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"17870";"Área Infantil";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445696.044";"4472655.227";"ETRS89";40.40273724;-3.63995125;"CALLE";"HACIENDA DE PAVONES";"155";"28030";"HACIENDA DE PAVONES, 000155";"11102956";"2007-01-01 00:00:00.0";"14063";"AE21";"INFANTIL";21
"17872";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445524.924";"4472546.585";"ETRS89";40.40174735;-3.64195842;"CALLE";"HACIENDA DE PAVONES";"164";"28030";"HACIENDA DE PAVONES, 000164";"11102478";"2006-01-01 00:00:00.0";"14065";"AE21";"INFANTIL";26
"17874";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445756.17";"4472422.379";"ETRS89";40.40064352;-3.63922289;"CALLE";"HACIENDA DE PAVONES";"272";"28030";"HACIENDA DE PAVONES, 000272";"31053574";"2003-01-01 00:00:00.0";"14068";"AE21";"INFANTIL";17
"17876";"Área Infantil";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445881.917";"4472288.862";"ETRS89";40.39944890;-3.63772979;"CALLE";"FUENTE CARRANTONA";"5";"28030";"FUENTE CARRANTONA, 000005";"20157918";"2007-01-01 00:00:00.0";"14071";"AE21";"INFANTIL";7
"17878";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"445862.454";"4472080.645";"ETRS89";40.39757188;-3.63794142;"CALLE";"ENCOMIENDA DE PALACIOS";"268";"28030";"ENCOMIENDA DE PALACIOS, 000268";"11101254";"2003-01-01 00:00:00.0";"14073";"AE21";"INFANTIL";1
"17880";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446174.072";"4471976.548";"ETRS89";40.39665431;-3.63426082;"CALLE";"ENCOMIENDA DE PALACIOS";"368";"28030";"ENCOMIENDA DE PALACIOS, 000368";"11101351";"2003-01-01 00:00:00.0";"14075";"AE21";"INFANTIL";7
"17882";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446316.211";"4472464.669";"ETRS89";40.40106079;-3.63262717;"CALLE";"VALDEBERNARDO";"27";"28030";"VALDEBERNARDO, 000027";"11101296";"2006-01-01 00:00:00.0";"14077";"AE21";"INFANTIL";11
"17884";"Área Infantil";"142";"HORCAJO";"14";"MORATALAZ";"OPERATIVO";"446605.09";"4472802.002";"ETRS89";40.40411827;-3.62925142;"CALLE";"LUIS DE HOYOS SAINZ";"162 B";"28030";"LUIS DE HOYOS SAINZ, 000162  B";"31003525";"2005-01-01 00:00:00.0";"14079";"AE21";"INFANTIL";16
"17886";"Área Infantil";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446218.757";"4472690.64";"ETRS89";40.40309019;-3.63379463;"CALLE";"LUIS DE HOYOS SAINZ";"148";"28030";"LUIS DE HOYOS SAINZ, 000148";"11101316";"2000-01-01 00:00:00.0";"14082";"AE21";"INFANTIL";24
"17890";"Área Infantil";"142";"HORCAJO";"14";"MORATALAZ";"OPERATIVO";"446260.543";"4472814.869";"ETRS89";40.40421202;-3.63331271;"CALLE";"FUENTE CARRANTONA";"20";"28030";"FUENTE CARRANTONA, 000020";"20122839";"2006-01-01 00:00:00.0";"14086";"AE21";"INFANTIL";23
